carID,price
89856,14505
106581,24161
80886,14194
100174,16499
81376,22204
85391,10203
82175,14137
95250,14548
85071,5010
96210,17043
80317,26951
92731,20772
107704,9441
98302,7606
107055,22759
94621,42425
91709,20374
98193,47793
76189,18175
86871,12996
102917,6771
90923,28874
101603,12331
94196,20520
85174,16062
103370,12366
107877,16489
79567,14951
90091,9239
76169,14206
98708,11434
107347,21418
89583,9413
101591,11748
92160,17577
99676,11662
85354,17243
81900,12096
80345,22177
78509,31326
100872,8399
95087,28023
86027,16455
89135,14107
80557,26079
108092,17011
102672,15983
83022,8447
78398,20593
95889,29681
81117,47422
93730,19065
101380,9659
81772,26887
85304,10804
86107,5894
88696,15775
104350,19799
87331,13057
85206,16511
107445,24319
106539,28590
98712,20817
96875,13668
108464,22387
99890,7721
87771,17500
79442,22097
84170,10726
103045,15763
101544,3585
77350,11180
89225,14612
79565,55884
82849,10283
94360,21323
103040,7117
105101,44089
97077,11630
98674,13531
93447,29070
84951,21258
91953,10714
102101,8620
92604,31845
89010,9301
102729,9215
88024,10671
104367,12252
101230,11128
82524,19267
95279,48538
106098,12279
89749,8688
101277,7113
108016,27111
81259,28187
97434,20864
105289,27144
103379,9291
78317,30311
104166,20366
106660,32278
107490,12010
90684,13915
90032,6834
79481,19539
102524,8945
100778,16996
77810,14957
98979,13486
76558,18203
94550,22050
107246,5938
77429,26403
106105,12676
105213,9904
102747,12260
104958,15021
96036,17937
92310,22883
100837,6809
82858,11274
90119,10244
77304,21065
89011,11196
84623,16796
99665,22630
100592,9851
82623,10928
92035,18645
84305,10535
92903,7389
93398,19554
108067,20580
85062,8017
81727,37883
95637,10111
89690,8708
83240,17992
89711,8658
96945,10508
104924,22333
79633,20554
89582,4789
98080,7446
85992,6859
86712,12841
105767,13303
100590,8844
104574,15842
97246,11275
78141,19477
91590,29052
80767,14046
100344,14742
88987,20886
96479,18098
90598,8798
83880,8419
86802,12633
103078,16162
84736,9740
84196,3940
102062,9852
90110,7387
102907,11370
81776,23537
102431,6786
80442,14113
78656,27880
78537,35678
102511,7297
93612,20040
99284,7930
96315,16026
94305,46740
100636,10875
81816,15913
100352,16014
101476,10308
93392,32674
93995,21368
94261,31801
89117,15590
86506,2309
88456,7021
84134,10959
81088,10929
103960,11486
84925,13352
97306,10318
83752,7550
100696,5110
76472,11219
101128,12087
105932,14065
86416,6868
79616,27622
83395,14129
88734,11190
106676,17950
102442,9897
88761,18074
79708,27747
96808,18736
103755,9447
86273,18393
97635,28028
80797,24057
108000,18656
95126,40430
105187,31993
81613,20699
103906,6757
105729,8213
100637,16320
82861,7980
107823,16099
85274,15848
88926,14907
87871,10484
97970,7138
98044,8378
90277,8309
85647,14009
107447,17517
79418,8115
80383,28203
79894,16402
105875,6729
86032,10119
104423,15334
78437,14187
79480,18523
89973,7353
94007,26503
93952,13693
84548,2850
97885,11276
86571,10489
77839,35996
102201,5517
98731,7782
82395,17630
76816,32047
97956,7188
86012,13154
106393,22355
81832,30996
82787,19434
103974,6781
100725,9996
86552,6987
80174,12827
99189,14405
102543,13670
98518,14369
100334,9346
92673,21087
88008,11177
105207,25344
106462,24043
106106,15970
79705,19229
108193,17486
89668,8305
86435,11944
101281,11659
104753,26353
79004,17179
89732,3356
89201,12940
87282,13293
101589,9998
87352,11500
103388,9919
93619,16924
101941,6906
106533,13559
90018,23999
101265,16241
104255,22981
80093,26904
82433,7544
77254,21625
106400,30439
79847,10536
95735,28780
106733,20051
76318,18209
95966,19746
101690,10674
82845,16047
96266,22641
104175,28633
97347,14374
92730,49496
84738,8934
102596,7033
78356,31486
94062,30784
101662,7374
81715,28504
103046,12846
108133,8350
96302,13398
83859,22859
104815,16202
95903,26905
79683,11156
88888,20033
80529,27138
81898,73951
83435,9491
80448,14619
79241,35808
76056,20048
76342,17432
98238,9219
85878,7890
102846,13938
90215,5283
79635,56607
77561,16256
101151,12906
93594,26549
78703,37986
87596,7450
92572,19661
90757,8014
95881,19094
98008,13151
84805,9229
100888,10778
82504,16295
82177,15275
89472,33731
82301,16862
106483,8827
79808,13072
83412,16590
89386,17265
89889,20629
108249,16586
98252,8902
83525,10141
102595,9707
94255,10725
91259,26301
99539,7255
97379,28614
104452,24517
88479,11050
95424,43424
94732,42458
89025,10066
89497,36712
92405,15776
95346,16876
91337,17717
97739,14868
81087,12699
80661,10557
105537,12688
81073,27336
102770,9800
99299,9715
77528,20290
95278,30767
106536,17459
79421,14849
105026,23267
97887,12773
106163,17733
103242,10718
103098,8290
76195,16012
103418,10917
102091,12341
102341,7251
100315,20588
100377,7639
78857,21201
93748,32109
107891,9648
77063,27297
86916,8892
108347,9958
94475,18745
100383,12450
80618,34154
98926,10108
77228,14969
106915,15040
92594,11519
80745,34146
78361,10138
95725,26291
105171,8514
87007,10123
104121,16045
92877,15087
108335,44876
101357,13689
89325,10110
103144,8041
101413,6851
85182,11749
84097,17659
101970,5489
98315,5119
89048,11003
106141,8670
87105,16888
88472,16560
93361,16363
87040,8135
99831,11558
95677,12296
89770,6486
77371,28353
107143,17900
100271,11803
83905,11581
101531,14129
90617,8088
83895,18922
89453,13821
106012,21709
76381,19813
106986,16201
84143,13398
91665,46353
81350,13961
80422,14247
84794,6432
81156,31794
77082,34360
97356,9350
82730,17328
99244,9718
85538,15688
101585,11095
90288,9020
98799,2803
93547,20787
85142,10003
82012,32905
89654,15450
102304,13548
79288,42093
77400,11019
98597,6374
103156,8827
95446,27991
97036,9452
101401,8572
80817,10507
84078,6676
95390,27600
79883,23269
104059,12669
103041,11583
81651,13495
100432,10983
84933,14997
81600,19691
78379,8055
90816,7605
107414,9769
105633,20674
99508,7068
100874,8042
104208,17662
84774,12353
96518,11276
91543,22942
107146,20386
94426,17299
99059,10145
96640,7934
81277,10370
102409,11908
104800,14412
107498,18562
90942,47174
80202,23245
76794,16230
88973,14446
91958,61434
80562,20146
103486,7567
95237,16057
105569,15842
106560,26451
107977,12903
90076,16516
93050,15817
80609,28208
88557,16532
90894,19376
83669,9773
78849,15738
101275,7604
91858,7659
96243,14492
106227,24868
105300,16748
93065,40933
78002,12741
82500,13563
78204,9015
107851,8724
86217,7075
82662,7576
93324,33205
79680,12572
104920,23174
96735,12139
89992,7759
106961,24740
80078,16015
101429,10233
95551,17663
79937,55113
80680,19229
99448,11681
93909,31883
96888,9598
104584,12581
107289,20129
84126,16306
101282,12239
92474,19817
88871,15832
107177,18214
106026,15180
96937,11598
83543,6288
81094,17609
77503,21322
85351,6188
96000,15642
87374,15299
86394,21473
108364,12065
91441,29371
97039,19663
106685,11449
95631,16354
101883,8524
78238,11342
97508,9393
98441,12484
80066,27357
79095,36549
80007,13869
100219,8887
82511,9746
89270,15401
88713,9830
100353,11501
102841,4607
90117,14049
81549,48922
82350,25458
76546,34442
81013,19236
91240,15987
91542,20511
104518,13484
93537,48842
94372,25147
104419,20311
97636,13850
96288,21232
78717,10442
105610,20803
97754,16901
81458,13233
86931,19034
90713,21795
90909,30336
77251,40797
95081,10573
95560,14237
93288,18872
105036,13422
108490,10508
96935,22364
89373,12777
98010,9803
104699,21213
86692,8218
85024,7563
79086,32362
89939,12215
79098,19852
86141,17431
105462,29425
92870,32581
92163,24053
87481,16435
83276,9676
79356,23536
103602,11738
88460,9870
100934,7954
96659,6516
83204,9084
104621,19302
84110,12232
99265,12138
79574,14257
78186,10935
87005,13656
104043,16153
81574,31721
104091,11233
77759,22060
78181,10509
96169,10526
98267,19205
97837,13328
80133,17824
98571,10052
88628,20121
78622,14705
88678,10788
87278,15385
86963,9932
100350,6511
78771,18056
95935,17777
107590,13747
84458,13749
85656,9077
81611,3776
92638,22731
87478,7731
98407,2947
95581,11049
100645,12204
97184,7147
84473,14771
88951,6876
100836,10453
91338,56546
94112,14084
89882,18006
97097,7697
99151,10399
99607,9275
78931,18254
97805,6945
97477,13728
87819,18822
76361,19596
99201,28680
103410,12275
108436,15376
105558,19454
88025,7828
101944,8088
80786,18284
84001,15223
78304,22614
100501,14945
99693,7659
94557,18433
82152,27278
92039,38566
83177,15374
90726,8691
82879,13677
87378,16062
91699,15562
85500,18505
97050,11315
88754,10732
79069,34256
89329,17188
102605,10624
93090,17568
108403,17076
91391,19453
80964,22211
89444,24442
84092,12382
100617,10400
107962,19453
106640,7178
95123,12467
99114,5989
94461,21177
88654,15163
80421,16731
78113,20244
100558,7208
78873,26407
85480,10207
103902,10696
104816,21854
89039,14600
95169,16255
93971,18964
84450,20169
80824,29901
92545,15213
89226,6281
93873,19731
85871,15431
86343,11050
93634,36277
106942,9258
82535,10756
92259,18552
88794,13374
77385,34699
76996,6501
102708,8586
81359,15131
90486,3700
100200,8210
87970,13435
107512,11617
79078,28264
108477,15053
80312,28888
82208,8588
100695,12460
99506,10327
85773,15389
101887,13471
90129,11010
84730,9510
107601,22734
89592,6321
84844,13056
96938,16326
84981,15920
100698,13056
103306,15409
107175,24619
95411,30867
101169,14055
99407,17909
78248,15808
79031,17364
91040,19120
76464,11843
102813,8200
86811,21268
81191,27481
78202,31615
82471,12207
103920,10769
79904,24171
95670,31400
89931,10141
92605,40247
85695,20108
98750,9599
101284,10970
91932,18934
98623,10518
82499,10881
93193,26666
106110,15675
78500,27090
89447,15517
103373,18240
87872,9775
99425,18082
96552,5944
105787,12236
82567,13043
102894,7520
77641,14395
100827,12438
97712,15956
95197,32608
102993,11929
94855,32031
81534,16590
95133,14129
107468,5607
86402,12696
102666,11508
92984,24941
93891,11490
94312,15531
91959,39399
91802,26734
108175,15971
78293,31332
104991,8742
104302,10043
79807,15403
87167,13846
78620,22836
81174,25644
83125,8803
103123,10011
94065,19676
78480,16646
98280,8834
83415,7926
92297,80165
100221,11097
78829,15651
93418,20856
83424,11040
101749,6505
103456,9493
88503,11336
84931,16182
107552,21652
108037,11605
94539,23364
83697,8860
87455,17863
103044,7874
104852,22379
93437,40059
92885,16271
80922,18867
102886,8441
104586,16798
81164,13536
106074,16716
87617,17121
84513,14082
96743,13161
81209,16355
95463,12326
95457,18969
101606,11842
97485,29542
91916,23477
91629,41058
84215,12990
108190,10168
88314,19540
104526,18023
82467,10610
91827,31871
