carID,price
89856,15650
106581,24318
80886,14594
100174,16745
81376,22373
85391,10158
82175,14480
95250,15362
85071,5016
96210,17690
80317,26364
92731,20870
107704,9253
98302,7819
107055,22740
94621,40466
91709,19811
98193,47479
76189,18499
86871,13095
102917,6969
90923,28459
101603,11715
94196,20358
85174,16176
103370,12791
107877,16856
79567,14532
90091,9028
76169,14626
98708,10883
107347,21439
89583,9267
101591,11444
92160,17094
99676,11428
85354,17221
81900,11930
80345,22407
78509,30269
100872,9011
95087,27618
86027,16132
89135,13304
80557,25547
108092,17227
102672,15463
83022,8594
78398,20229
95889,29800
81117,46988
93730,19086
101380,10584
81772,26672
85304,11302
86107,5687
88696,16637
104350,19981
87331,12698
85206,16472
107445,24983
106539,28916
98712,20941
96875,13977
108464,22752
99890,7397
87771,17240
79442,22075
84170,10825
103045,15395
101544,3686
77350,11681
89225,14187
79565,56538
82849,10175
94360,21317
103040,6801
105101,45993
97077,11705
98674,15844
93447,28771
84951,20326
91953,10890
102101,8719
92604,32140
89010,8955
102729,9368
88024,11103
104367,12474
101230,10980
82524,18865
95279,48204
106098,12246
89749,8690
101277,7232
108016,27192
81259,28689
97434,21103
105289,26493
103379,9029
78317,31282
104166,20345
106660,32654
107490,11678
90684,14059
90032,6587
79481,19621
102524,8751
100778,16868
77810,14720
98979,13516
76558,18413
94550,22527
107246,5852
77429,26098
106105,12263
105213,9714
102747,14029
104958,14760
96036,17804
92310,23183
100837,6533
82858,11000
90119,10602
77304,20683
89011,11296
84623,15743
99665,22969
100592,9723
82623,10598
92035,18413
84305,10476
92903,6990
93398,19920
108067,20179
85062,8020
81727,39871
95637,10743
89690,8595
83240,17921
89711,8656
96945,10821
104924,22456
79633,19755
89582,4859
98080,7345
85992,6878
86712,12822
105767,13620
100590,9084
104574,16268
97246,8608
78141,19614
91590,29082
80767,14024
100344,14832
88987,20873
96479,17877
90598,8920
83880,8808
86802,12419
103078,16205
84736,9435
84196,3751
102062,9659
90110,7263
102907,11250
81776,23253
102431,7118
80442,13856
78656,27862
78537,35974
102511,7680
93612,19542
99284,7964
96315,16103
94305,46554
100636,10963
81816,16014
100352,15838
101476,9953
93392,33496
93995,21214
94261,32391
89117,15736
86506,2260
88456,6917
84134,11052
81088,10828
103960,11872
84925,13292
97306,10455
83752,7468
100696,4925
76472,11300
101128,12651
105932,13970
86416,6737
79616,26683
83395,13736
88734,10764
106676,17890
102442,9831
88761,18698
79708,27999
96808,18796
103755,9534
86273,18238
97635,27862
80797,24216
108000,18572
95126,40909
105187,32091
81613,20446
103906,6742
105729,8289
100637,18612
82861,7912
107823,16489
85274,15697
88926,14994
87871,10018
97970,6903
98044,8602
90277,8050
85647,13595
107447,17552
79418,8090
80383,27793
79894,16334
105875,6606
86032,9929
104423,15556
78437,14568
79480,18127
89973,7445
94007,26468
93952,13730
84548,2908
97885,11272
86571,10400
77839,36290
102201,5322
98731,7839
82395,17936
76816,33613
97956,7421
86012,12860
106393,24191
81832,30049
82787,19286
103974,6652
100725,10000
86552,6909
80174,12703
99189,14893
102543,13480
98518,14024
100334,9071
92673,20124
88008,10967
105207,25419
106462,22887
106106,16364
79705,18280
108193,17324
89668,8289
86435,11863
101281,11882
104753,26889
79004,17504
89732,3232
89201,12669
87282,13567
101589,10119
87352,11396
103388,10054
93619,17213
101941,6822
106533,13754
90018,24686
101265,16169
104255,22583
80093,26616
82433,7371
77254,23872
106400,30292
79847,10759
95735,29104
106733,19481
76318,18452
95966,21849
101690,9750
82845,15897
96266,22912
104175,29005
97347,14430
92730,51462
84738,8725
102596,7402
78356,31456
94062,30375
101662,7460
81715,29025
103046,12951
108133,8217
96302,13316
83859,23736
104815,16072
95903,26978
79683,11194
88888,20127
80529,27218
81898,76929
83435,9484
80448,14293
79241,37110
76056,20218
76342,17668
98238,8886
85878,7917
102846,12745
90215,4939
79635,57561
77561,16764
101151,12980
93594,26341
78703,38467
87596,7475
92572,19935
90757,8014
95881,18830
